Employee_ID,Cluster,Job_Family,Age_Bucket,Generation,Gender,Tenure_Bucket,Grade_Bucket,Latest_Rating,No_Of_Promos,Compensation_Ratio_Bucket,Team_Change,Title_Change,Manager_Change,Total_Span,Manager_Age,Manager_Gender,Manager_Generation,Manager_Tenure_Bukcet,Manager_Total_Span,Manager_latest_Rating,Manager_Grade_Bucket,latest_Increment,Career Development,Change Management,Collaboration,Commit,Communication,Enabling Infrastructure,Ethics,Inclusion & Diversity,Leadership,Openness,People Manager,Performance,Respect,Role Clarity,Strategy & Direction,Talent & Staffing,Total Rewards,Values - Audacity,Values - Bias for Action,Values - Customer First,Work-Life Balance,NPS_Score,TSLP Bucket,Employee Status,Emp Stat
124925,Flipkart Wholesale,FC Operations - Central,30-34 Years,Gen Y,M,2-3 Yrs,8--9,ME,0,0.9 - 1,1,0,2,0,34,M,Gen Y,Above 5 Yrs,4,OP,12--13,6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
128055,CFP,Data Centre Operations,30-34 Years,Gen Y,M,2-3 Yrs,8--9,EE,0,0.8 - 0.9,0,0,0,0,43,M,Gen X,Above 5 Yrs,6,ME,12--13,9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
110025,FSG,Software Development Engineering,25-29 Years,Gen Z,M,2-3 Yrs,8--9,EE,0,1+,2,0,5,0,40,M,Gen Y,4-5 Yrs,19,EE,12--13,8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3--4 Years,Active,Active
128536,CFP,Software Development Engineering,30-34 Years,Gen Y,M,1-2 Yrs,8--9,ME,0,0.9 - 1,1,0,2,0,36,M,Gen Y,3-6 Months,8,ME,12--13,6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
108463,SSE,Software Development Engineering,25-29 Years,Gen Y,M,3-4 Yrs,8--9,ME,0,0.9 - 1,1,0,3,0,33,M,Gen Y,3-6 Months,17,ME,12--13,6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3--4 Years,Active,Active
128616,Flipkart Corp,Analytics,30-34 Years,Gen Y,M,1-2 Yrs,10--11,MSE,0,0.7 - 0.8,0,0,2,0,37,M,Gen Y,Above 5 Yrs,4,ME,14--15,8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
128734,Flipkart Wholesale,Software Development Engineering,20-24 Years,Gen Z,M,6 Months - 1 Yr,8--9,ME,0,0.8 - 0.9,1,0,0,0,43,M,Gen X,Above 5 Yrs,10,EE,14--15,7.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,< 1Year,Active,Active
108787,FSG,Software Development Engineering,25-29 Years,Gen Z,M,1-2 Yrs,8--9,ME,0,0.9 - 1,1,0,2,0,37,M,Gen Y,Above 5 Yrs,3,ME,10--11,8.6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
128955,FPG,Business Development,25-29 Years,Gen Z,M,1-2 Yrs,8--9,ME,0,0.8 - 0.9,2,0,0,0,32,M,Gen Y,3-4 Yrs,2,EE,12--13,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
121067,Flipkart Group,Fire Safety and Security,30-34 Years,Gen Y,M,2-3 Yrs,8--9,ME,0,0.9 - 1,0,0,4,0,39,M,Gen Y,1-2 Yrs,5,ME,10--11,7.8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
